source	target	mutualrank	logrank
MOT1	SXM1	0.014705882352941176	4.219507705176107
HSM3	IMA1	0.03508771929824561	3.349904087274605
RRP12	IMB4	0.2857142857142857	1.252762968495368
ATR	TOR2	0.5	0.6931471805599453
CND3	AP2A	0.023529411764705882	3.7495040759303713
CND1	RRP12	0.025974025974025976	3.6506582412937383
VAC8	2AAA	0.1111111111111111	2.1972245773362196
TOR1	AP3B	0.044444444444444446	3.1135153092103742
IPI1	VAC14	0.03389830508474576	3.3843902633457743
UTP20	SCY1	0.010810810810810811	4.52720864451838
RTP1	AP1B1	0.037037037037037035	3.295836866004329
GCN1	PDS5	0.05263157894736842	2.9444389791664407
AP1B1	SCY1	0.01020408163265306	4.584967478670572
VATH	IMB3	0.0273972602739726	3.597312260588446
ECM29	TOR1	0.15384615384615385	1.8718021769015913
CND3	AP1G1	0.028169014084507043	3.56953269648137
2AAA	VAC14	0.2	1.6094379124341003
STU1	DOHH	0.022222222222222223	3.8066624897703196
IMB4	IMB3	1.0	-0.0
IMB2	TTI1	0.03508771929824561	3.349904087274605
XPO1	GCN1	0.03125	3.4657359027997265
LAA1	COPB	0.028169014084507043	3.56953269648137
CND3	UTP20	0.024096385542168676	3.7256934272366524
2AAA	SXM1	0.034482758620689655	3.367295829986474
LAA1	IMB3	0.03225806451612903	3.4339872044851463
KA120	CEX1	0.01015228426395939	4.590056548178043
MET18	SHE4	0.02564102564102564	3.6635616461296463
TOR2	AP2B	0.03636363636363636	3.3141860046725258
CND1	GCN1	0.03636363636363636	3.3141860046725258
SHE4	UFD4	0.16666666666666666	1.791759469228055
NMD5	UTP10	0.043478260869565216	3.1354942159291497
EF3A	RRP12	0.020833333333333332	3.871201010907891
ECM29	RPN2	0.04081632653061224	3.1986731175506815
SXM1	IMB2	0.14285714285714285	1.9459101490553135
IPI1	NMD5	0.02702702702702703	3.6109179126442243
EF3A	CSE1	0.020618556701030927	3.8815637979434374
KA120	TOR1	0.043478260869565216	3.1354942159291497
PDS5	CND1	0.3333333333333333	1.0986122886681098
MET18	USO1	0.019230769230769232	3.951243718581427
CND3	IMB2	0.029411764705882353	3.5263605246161616
SCC2	AP2A	0.03389830508474576	3.3843902633457743
AP3B	LAA1	0.02531645569620253	3.676300671907076
IMB4	FES1	0.02564102564102564	3.6635616461296463
USO1	IMB2	0.025	3.6888794541139363
AP2A	VAC14	0.041666666666666664	3.1780538303479458
STU1	ECM29	0.04878048780487805	3.0204248861443626
UFD4	FES1	0.18181818181818182	1.7047480922384253
IMB2	XPO1	0.08695652173913043	2.4423470353692043
SHE4	VID28	0.4	0.916290731874155
2AAA	LAA1	0.02702702702702703	3.6109179126442243
CND1	TOR2	0.020618556701030927	3.8815637979434374
XPO1	NEW1	0.01694915254237288	4.07753744390572
MOT1	TOR1	0.022988505747126436	3.7727609380946383
NMD5	MOT1	0.014925373134328358	4.204692619390966
CND1	COPG	0.038461538461538464	3.258096538021482
GCN1	MOT1	0.03571428571428571	3.332204510175204
ATR	2AAA	0.029850746268656716	3.5115454388310208
IMB2	NMD5	0.10526315789473684	2.2512917986064953
TR732	SCC2	0.03333333333333333	3.4011973816621555
SCC3	VAC8	0.0273972602739726	3.597312260588446
RRP12	AP3B	0.03333333333333333	3.4011973816621555
SCC2	ECM29	0.0392156862745098	3.2386784521643803
STU1	MOT1	0.015037593984962405	4.197201947661808
IMA1	VAC8	0.6666666666666666	0.40546510810816444
SHE4	FES1	0.14285714285714285	1.9459101490553135
SCC2	RPN2	0.0273972602739726	3.597312260588446
EF3B	SXM1	0.019417475728155338	3.9415818076696905
APC5	CYC8	0.05555555555555555	2.890371757896165
VID28	VATH	0.15384615384615385	1.8718021769015913
RTP1	2AAA	0.041666666666666664	3.1780538303479458
